patentid,assignee_name_current
US2595759A,General Electric Co
US980505A,General Electric Co
US2846776A,General Electric Co
US2446999A,General Electric Co
US2736822A,General Electric Co
US2107945A,General Electric Co
US2169860A,General Electric Co
US3699341A,General Electric Co
US7631483B2,General Electric Co
US3512359A,General Electric Co
US5363055A,General Electric Co
US3603062A,General Electric Co
US4377736A,General Electric Co
US3471757A,General Electric Co
US3816282A,General Electric Co
US3516369A,General Electric Co
US7771588B2,Bl Technologies Inc
US4755001A,Astec Industries Inc
US6879656B2,General Electric Co
US6113349A,General Electric Co
US7444944B2,Ge Global Sourcing Llc
US6673864B2,Sabic Innovative Plastics Ip Bv
US6884038B2,General Electric Co
US7047938B2,General Electric Co
US6292530B1,General Electric Co
US6655409B1,General Electric Co
US5817371A,General Electric Co
US4073380A,General Electric Co
US3849638A,General Electric Co
US5458126A,General Electric Co
US4745599A,General Electric Co
US4745599A,Rca Corp
US7110488B2,General Electric Co
US7110488B2,Ge Medical Systems Global Technology Co Llc
US7236462B2,Ge Global Sourcing Llc
US5093931A,Chase Manhattan Bank Na
US4088825A,General Electric Co
US8574157B2,General Electric Co
US5066881A,General Electric Co
US5066881A,Babcock And Wilcox Power Generation Group Inc
US8364242B2,General Electric Co
US3678352A,General Electric Co
US5135709A,General Electric Co
US6769868B2,General Electric Co
US3867717A,General Electric Co
US3889099A,General Electric Co
US4265099A,General Electric Co
US6462316B1,General Electric Co
US3933993A,General Electric Co
US7884492B2,General Electric Co
US5911679A,General Electric Co
US6539074B1,General Electric Co
US5353262A,General Electric Co
US4739436A,General Electric Co
US10124408B2,General Electric Co
US4783593A,Martin Marietta Corp
US5546294A,General Electric Co
US4227984A,General Electric Co
US5280223A,General Electric Co
US5430783A,General Electric Co
US7081832B2,Interpark Llc
US4903478A,General Electric Co
US4927329A,General Electric Co
US7653919B2,Nbcuniversal Media Llc
US8806871B2,General Electric Co
US7809114B2,General Electric Co
US5744781A,General Electric Co
US4024420A,General Electric Co
US5350277A,General Electric Co
US3897169A,General Electric Co
US5023758A,General Electric Co
US4785622A,General Electric Co
US3918219A,General Electric Co
US6769865B2,General Electric Co
US6933504B2,General Electric Co
US7355297B2,General Electric Co
US5480220A,General Electric Co
US5108339A,Fleet National Bank As Collateral Agent
US3855951A,General Electric Co
US7976282B2,General Electric Co
US7313127B2,General Electric Co
US4004047A,General Electric Co
US6568336B2,General Electric Capital Corp
US3988889A,General Electric Co
US4567893A,General Electric Co
US7813106B2,Bl Technologies Inc
US3942055A,General Electric Co
US7034305B2,General Electric Co
US5854445A,General Electric Co
US5479772A,General Electric Co
US4800393A,General Electric Co
US7094450B2,General Electric Co
US7579094B2,General Electric Co
US7548830B2,General Electric Co
US5319923A,General Electric Co
US5451116A,General Electric Co
US5111046A,General Electric Co
US4449079A,General Electric Co
US4041117A,General Electric Co
US5141401A,General Electric Co
US7171383B2,General Electric Co
US7320213B2,General Electric Co
US5351837A,General Electric Co
US7522756B2,General Electric Co
US5364926A,General Electric Co
US5442286A,General Electric Co
US7530780B2,General Electric Co
US4291303A,General Electric Co
US6058596A,General Electric Co
US5633800A,General Electric Co
US3743303A,General Electric Co
US5551228A,General Electric Co
US7068751B2,General Electric Co
US7068751B2,Ge Medical Systems Global Technology Co Llc
US6074706A,General Electric Co
US6160042A,Edison Polymer Innovation Corp
US6160042A,General Electric Co
US3845490A,General Electric Co
US8616834B2,General Electric Co
US5174525A,General Electric Co
US8206115B2,General Electric Co
US5243829A,General Electric Co
US6632020B2,General Electric Co
US5621776A,Us Department Of Energy
US7762073B2,General Electric Co
US6353767B1,General Electric Co
US6923640B2,"Haier Us Appliance Solutions, Inc."
US3874379A,General Electric Capital Corp
US3874379A,Professional Medical Products Inc
US3854219A,General Electric Co
US5357745A,General Electric Co
US4434546A,General Electric Co
US5689435A,General Electric Co
US5851679A,General Electric Co
US2886618A,General Electric Co Ltd
US2615127A,General Electric Co
US7172820B2,General Electric Co
US4837843A,General Electric Cgr Sa
US4837843A,Hughes Aircraft Co
US3779345A,General Electric Co
US5189624A,General Electric Co
US4346755A,General Electric Co
US5844139A,General Electric Co
US8167569B2,General Electric Co
US8373338B2,General Electric Co
US5717056A,Sabic Innovative Plastics Ip Bv
US6239438B1,General Electric Co
US6623827B2,Sabic Global Technologies Bv
US8029239B2,General Electric Co
US7378820B2,General Electric Co
US7346469B2,General Electric Co
US5000861A,General Electric Co
US3746870A,Cgee Alsthom North America Inc
US5361580A,General Electric Co
US7047522B1,Ge Capital Us Holdings Inc
US4410385A,General Electric Co
US4975110A,Safer Inc
US7007478B2,General Electric Co
US4041361A,General Electric Co
US8186945B2,General Electric Co
US7247856B2,General Electric Co
US7247856B2,Ge Medical Systems Global Technology Co Llc
US3988922A,General Electric Co
US6950725B2,General Electric Co
US7775979B2,General Electric Co
US4896510A,General Electric Co
US7476703B2,General Electric Co
US6167293A,General Electric Co
US4818139A,Ri Properties Inc
US5203163A,General Electric Co
US7096197B2,General Electric Co
US6982126B2,General Electric Co
US7578130B1,General Electric Co
US4847398A,General Electric Co
US3989132A,Genicom Corp
US3874986A,General Electric Co
US6996262B2,General Electric Co
US5592780A,Wilkinson-Hi-Rise Llc
US4228511A,General Electric Co
US6552525B2,"Haier Us Appliance Solutions, Inc."
US4430375A,Nevamar Corp
US4430375A,General Electric Capital Corp
US4430375A,Nevamar Co Llc
US7004622B2,General Electric Co
US7400054B2,General Electric Co
US6140617A,General Electric Co
US6018239A,General Electric Co
US7785074B2,General Electric Co
US6463739B1,General Electric Co
US7205035B2,Sabic Innovative Plastics Ip Bv
US5340988A,General Electric Co
US6872325B2,Sabic Innovative Plastics Ip Bv
US7631879B2,General Electric Co
US9119246B2,General Electric Co
US7121448B2,General Electric Co
US7140174B2,General Electric Co
US8589003B2,Ge Global Sourcing Llc
US7727434B2,General Electric Co
US3903690A,General Electric Co
US8831788B2,General Electric Co
US6210488B1,General Electric Co
US5435694A,General Electric Co
US4227383A,General Electric Co
