patentid,issuing_country
US6919118B2,United States of America
US8262019B2,United States of America
US4648367A,United States of America
US6221475B1,United States of America
US5960626A,United States of America
US4440435A,United States of America
US7663264B2,United States of America
US5552790A,United States of America
US5904957A,United States of America
US5251664A,United States of America
US8446294B2,United States of America
US5136299A,United States of America
US4617907A,United States of America
US5083993A,United States of America
US4665403A,United States of America
US4641139A,United States of America
US5202913A,United States of America
US5810078A,United States of America
US4862093A,United States of America
US8743573B2,United States of America
US7482709B2,United States of America
US7728447B2,United States of America
US7277302B2,United States of America
US6820425B2,United States of America
US7538521B2,United States of America
US7205704B2,United States of America
US4218138A,United States of America
US6278411B1,United States of America
US3474704A,United States of America
US6759976B1,United States of America
US6085865A,United States of America
US6291058B1,United States of America
US6740408B2,United States of America
US5543720A,United States of America
US7687714B2,United States of America
US4637368A,United States of America
US7278257B2,United States of America
US6765524B2,United States of America
US4452568A,United States of America
US5095582A,United States of America
US6680690B1,United States of America
US6319348B1,United States of America
US5498044A,United States of America
US8796871B2,United States of America
US10044296B2,United States of America
US8640825B2,United States of America
US7587930B2,United States of America
US4212063A,United States of America
US8629799B2,United States of America
US6859166B2,United States of America
US4952315A,United States of America
US6425064B2,United States of America
US7709739B2,United States of America
US5214919A,United States of America
US8574789B2,United States of America
US4195883A,United States of America
US6988356B2,United States of America
US9218741B2,United States of America
US6849105B2,United States of America
US4621881A,United States of America
US4198674A,United States of America
US10301941B2,United States of America
US8810179B2,United States of America
US6629458B1,United States of America
US7441732B2,United States of America
US6700530B1,United States of America
US5982238A,United States of America
US7691440B2,United States of America
US6881250B2,United States of America
US7758360B2,United States of America
US5299540A,United States of America
US7262743B2,United States of America
US6843114B2,United States of America
US7210283B2,United States of America
US4464659A,United States of America
US5286077A,United States of America
US5184522A,United States of America
US8648556B2,United States of America
US10458279B2,United States of America
US4179707A,United States of America
US8340832B1,United States of America
US6782692B2,United States of America
US5495841A,United States of America
US5060776A,United States of America
US8899013B2,United States of America
US8453965B2,United States of America
US5720627A,United States of America
US7441691B2,United States of America
US7895819B2,United States of America
US8958181B2,United States of America
US7394242B2,United States of America
US5649680A,United States of America
US8141817B2,United States of America
US5452691A,United States of America
US8960065B2,United States of America
US7743351B2,United States of America
US7241470B2,United States of America
US8567716B2,United States of America
US3917020A,United States of America
US5259263A,United States of America
US7410630B2,United States of America
US4903676A,United States of America
US4515141A,United States of America
US5429081A,United States of America
US4947810A,United States of America
US4706623A,United States of America
US8240124B2,United States of America
US7236297B1,United States of America
US8267351B2,United States of America
US5220429A,United States of America
US4614129A,United States of America
US4785789A,United States of America
US6758043B2,United States of America
US6092934A,United States of America
US8462829B2,United States of America
US6910715B2,United States of America
US7804981B2,United States of America
US5624310A,United States of America
US8907595B2,United States of America
US4381662A,United States of America
US5572975A,United States of America
US10428733B2,United States of America
US5821659A,United States of America
US8882450B2,United States of America
US7168421B2,United States of America
US10018087B2,United States of America
US5546920A,United States of America
US8646744B2,United States of America
US5567992A,United States of America
US4619182A,United States of America
US5096649A,United States of America
US7566029B2,United States of America
US8937574B2,United States of America
US6684697B1,United States of America
US7273011B2,United States of America
US10415691B2,United States of America
US7845220B2,United States of America
US10352250B2,United States of America
US4969547A,United States of America
US10077715B2,United States of America
US6385965B1,United States of America
US10190946B2,United States of America
US10323576B2,United States of America
US7950232B2,United States of America
US10040539B2,United States of America
US7147434B2,United States of America
US6959596B2,United States of America
US10233540B2,United States of America
US7395655B2,United States of America
US7611329B2,United States of America
US8724324B2,United States of America
US8814728B2,United States of America
US7273010B2,United States of America
US9291176B2,United States of America
US8876393B2,United States of America
US5107749A,United States of America
US5281188A,United States of America
US9874268B2,United States of America
US10082038B2,United States of America
US10233998B2,United States of America
US10247107B2,United States of America
US10118710B2,United States of America
US8902084B2,United States of America
US4194236A,United States of America
US10190437B2,United States of America
US9214272B2,United States of America
US9759912B2,United States of America
US10358746B2,United States of America
US9482182B2,United States of America
US10436220B2,United States of America
US8604638B2,United States of America
US9350094B2,United States of America
USD309287S,United States of America
US8839629B2,United States of America
US4582161A,United States of America
US10410529B2,United States of America
US9494124B2,United States of America
US10487809B2,United States of America
US9970877B2,United States of America
US10124547B2,United States of America
US8611706B1,United States of America
US9424978B2,United States of America
US6912053B1,United States of America
US10047849B2,United States of America
US10404931B2,United States of America
US10105770B2,United States of America
US10279308B2,United States of America
US10443697B2,United States of America
US10284353B2,United States of America
US10392978B2,United States of America
US10301225B2,United States of America
US8207780B2,United States of America
US10427791B2,United States of America
US8847560B2,United States of America
US10415671B2,United States of America
US10167895B2,United States of America
US3636318A,United States of America
US3549885A,United States of America
US3635061A,United States of America
US3878324A,United States of America
US8740137B2,United States of America
US3602661A,United States of America
US3402782A,United States of America
US3471107A,United States of America
US6750391B2,United States of America
US4044913A,United States of America
US8159385B2,United States of America
US5264260A,United States of America
US6859187B2,United States of America
US7257237B1,United States of America
US5533755A,United States of America
US5246421A,United States of America
US7942003B2,United States of America
US7241112B2,United States of America
US4550617A,United States of America
US7384663B2,United States of America
US6958693B2,United States of America
US4922713A,United States of America
US6467725B1,United States of America
US6914344B2,United States of America
US3997207A,United States of America
US6830428B2,United States of America
US7108060B2,United States of America
US6334365B1,United States of America
US4056684A,United States of America
US6017189A,United States of America
US7581932B2,United States of America
US7170441B2,United States of America
US7249462B2,United States of America
US6708495B2,United States of America
US5993156A,United States of America
US7037078B2,United States of America
US8000804B1,United States of America
US8322971B2,United States of America
US7640661B2,United States of America
US4894985A,United States of America
US6035645A,United States of America
US6282881B1,United States of America
US6905312B2,United States of America
US7509805B2,United States of America
US8137073B2,United States of America
US6705836B2,United States of America
US4372119A,United States of America
US6909205B2,United States of America
US7859465B2,United States of America
US8607454B2,United States of America
US5757286A,United States of America
US7000404B2,United States of America
US6655920B2,United States of America
US6668559B2,United States of America
US5964575A,United States of America
US6882906B2,United States of America
US7426873B1,United States of America
US6009605A,United States of America
US7021585B2,United States of America
US10435163B2,United States of America
US7588694B1,United States of America
US6032901A,United States of America
US6969874B1,United States of America
US5686144A,United States of America
US7677026B2,United States of America
US6622473B2,United States of America
US9080463B2,United States of America
US7148661B2,United States of America
US7271137B2,United States of America
US5431482A,United States of America
US5965266A,United States of America
US3535637A,United States of America
US7237388B2,United States of America
US7173764B2,United States of America
US7033136B2,United States of America
US7308317B1,United States of America
